"","Nyears","startPop","noise","nbreaksin","nbreaksout","startK","startR","changeK","changeR","victory"
"1",25,3000,5,0,2,2000,2,40,20,0
"2",25,3000,5,0,2,2000,2,40,20,0
"3",25,3000,5,0,0,2000,2,40,20,1
"4",25,3000,5,0,1,2000,2,40,20,0
"5",25,3000,5,0,0,2000,2,40,20,1
"6",25,3000,5,1,1,2000,2,40,20,1
"7",25,3000,5,1,1,2000,2,40,20,1
"8",25,3000,5,1,2,2000,2,40,20,2
"9",25,3000,5,1,1,2000,2,40,20,1
"10",25,3000,5,1,1,2000,2,40,20,1
"11",25,3000,5,2,2,2000,2,40,20,1
"12",25,3000,5,2,2,2000,2,40,20,1
"13",25,3000,5,2,2,2000,2,40,20,1
"14",25,3000,5,2,2,2000,2,40,20,1
"15",25,3000,5,2,2,2000,2,40,20,1
"16",25,3000,5,3,3,2000,2,40,20,1
"17",25,3000,5,3,3,2000,2,40,20,1
"18",25,3000,5,3,3,2000,2,40,20,1
"19",25,3000,5,3,3,2000,2,40,20,1
"20",25,3000,5,3,3,2000,2,40,20,1
"21",25,3000,5,0,0,2000,2,40,20,1
"22",25,3000,5,0,1,2000,2,40,20,0
"23",25,3000,5,0,1,2000,2,40,20,0
"24",25,3000,5,0,0,2000,2,40,20,1
"25",25,3000,5,0,2,2000,2,40,20,0
"26",25,3000,5,1,1,2000,2,40,20,1
"27",25,3000,5,1,1,2000,2,40,20,1
"28",25,3000,5,1,2,2000,2,40,20,2
"29",25,3000,5,1,2,2000,2,40,20,2
"30",25,3000,5,1,1,2000,2,40,20,1
"31",25,3000,5,2,2,2000,2,40,20,1
"32",25,3000,5,2,3,2000,2,40,20,2
"33",25,3000,5,2,2,2000,2,40,20,1
"34",25,3000,5,2,3,2000,2,40,20,2
"35",25,3000,5,2,2,2000,2,40,20,1
"36",25,3000,5,3,3,2000,2,40,20,1
"37",25,3000,5,3,3,2000,2,40,20,1
"38",25,3000,5,3,3,2000,2,40,20,1
"39",25,3000,5,3,3,2000,2,40,20,1
"40",25,3000,5,3,3,2000,2,40,20,1
"41",25,3000,5,0,2,2000,2,40,20,0
"42",25,3000,5,0,1,2000,2,40,20,0
"43",25,3000,5,0,0,2000,2,40,20,1
"44",25,3000,5,0,1,2000,2,40,20,0
"45",25,3000,5,0,1,2000,2,40,20,0
"46",25,3000,5,1,1,2000,2,40,20,1
"47",25,3000,5,1,1,2000,2,40,20,1
"48",25,3000,5,1,1,2000,2,40,20,1
"49",25,3000,5,1,1,2000,2,40,20,1
"50",25,3000,5,1,1,2000,2,40,20,1
"51",25,3000,5,2,3,2000,2,40,20,2
"52",25,3000,5,2,3,2000,2,40,20,2
"53",25,3000,5,2,2,2000,2,40,20,1
"54",25,3000,5,2,3,2000,2,40,20,2
"55",25,3000,5,2,2,2000,2,40,20,1
"56",25,3000,5,3,3,2000,2,40,20,1
"57",25,3000,5,3,3,2000,2,40,20,1
"58",25,3000,5,3,3,2000,2,40,20,1
"59",25,3000,5,3,3,2000,2,40,20,1
"60",25,3000,5,3,3,2000,2,40,20,1
"61",25,3000,5,0,1,2000,2,40,20,0
"62",25,3000,5,0,1,2000,2,40,20,0
"63",25,3000,5,0,1,2000,2,40,20,0
"64",25,3000,5,0,2,2000,2,40,20,0
"65",25,3000,5,0,2,2000,2,40,20,0
"66",25,3000,5,1,1,2000,2,40,20,1
